country,date,cases
South Sudan,2021-02-01,3929.0
Spain,2021-02-01,2822805.0
Sri Lanka,2021-02-01,64983.0
Sudan,2021-02-01,29449.0
Suriname,2021-02-01,8449.0
Sweden,2021-02-01,566957.0
Switzerland,2021-02-01,525095.0
Syria,2021-02-01,14096.0
Taiwan*,2021-02-01,912.0
Tajikistan,2021-02-01,13308.0
Tanzania,2021-02-01,509.0
Thailand,2021-02-01,20454.0
Timor-Leste,2021-02-01,70.0
Togo,2021-02-01,5092.0
Trinidad and Tobago,2021-02-01,7566.0
Tunisia,2021-02-01,210045.0
Turkey,2021-02-01,2485182.0
US,2021-02-01,26384317.0
Uganda,2021-02-01,39606.0
Ukraine,2021-02-01,1263833.0
United Arab Emirates,2021-02-01,306339.0
United Kingdom,2021-02-01,16.0
United Kingdom,2021-02-01,691.0
United Kingdom,2021-02-01,114.0
United Kingdom,2021-02-01,390.0
United Kingdom,2021-02-01,3737.0
United Kingdom,2021-02-01,41.0
United Kingdom,2021-02-01,4128.0
United Kingdom,2021-02-01,434.0
United Kingdom,2021-02-01,13.0
United Kingdom,2021-02-01,4.0
United Kingdom,2021-02-01,1504.0
United Kingdom,2021-02-01,3835783.0
Uruguay,2021-02-01,42128.0
Uzbekistan,2021-02-01,78755.0
Vanuatu,2021-02-01,1.0
Venezuela,2021-02-01,127346.0
Vietnam,2021-02-01,1850.0
West Bank and Gaza,2021-02-01,159443.0
Yemen,2021-02-01,2122.0
Zambia,2021-02-01,55042.0
Zimbabwe,2021-02-01,33548.0
Afghanistan,2021-03-01,55733.0
Albania,2021-03-01,107931.0
Algeria,2021-03-01,113255.0
Andorra,2021-03-01,10889.0
Angola,2021-03-01,20854.0
Antigua and Barbuda,2021-03-01,769.0
Argentina,2021-03-01,2112023.0
Armenia,2021-03-01,172216.0
Australia,2021-03-01,118.0
Australia,2021-03-01,5183.0
Australia,2021-03-01,105.0
Australia,2021-03-01,1335.0
Australia,2021-03-01,617.0
Australia,2021-03-01,234.0
Australia,2021-03-01,20481.0
Australia,2021-03-01,913.0
Austria,2021-03-01,460849.0
Azerbaijan,2021-03-01,234662.0
Bahamas,2021-03-01,8519.0
Bahrain,2021-03-01,123039.0
Bangladesh,2021-03-01,546801.0
Barbados,2021-03-01,3115.0
Belarus,2021-03-01,288267.0
Belgium,2021-03-01,772294.0
Belize,2021-03-01,12313.0
Benin,2021-03-01,5434.0
Bhutan,2021-03-01,867.0
Bolivia,2021-03-01,249767.0
Bosnia and Herzegovina,2021-03-01,130979.0
Botswana,2021-03-01,30727.0
Brazil,2021-03-01,10587001.0
Brunei,2021-03-01,186.0
Bulgaria,2021-03-01,249626.0
Burkina Faso,2021-03-01,12030.0
Burma,2021-03-01,141916.0
Burundi,2021-03-01,2217.0
Cabo Verde,2021-03-01,15432.0
Cambodia,2021-03-01,844.0
Cameroon,2021-03-01,35714.0
Canada,2021-03-01,133795.0
Canada,2021-03-01,80672.0
Canada,2021-03-01,0.0
Canada,2021-03-01,13.0
Canada,2021-03-01,31894.0
Canada,2021-03-01,1431.0
Canada,2021-03-01,989.0
Canada,2021-03-01,47.0
Canada,2021-03-01,1642.0
Canada,2021-03-01,358.0
Canada,2021-03-01,307176.0
Canada,2021-03-01,132.0
Canada,2021-03-01,288353.0
Canada,2021-03-01,13.0
Canada,2021-03-01,28801.0
Canada,2021-03-01,72.0
Central African Republic,2021-03-01,5004.0
Chad,2021-03-01,3986.0
Chile,2021-03-01,829770.0
China,2021-03-01,994.0
China,2021-03-01,1049.0
China,2021-03-01,591.0
China,2021-03-01,551.0
China,2021-03-01,187.0
China,2021-03-01,2215.0
China,2021-03-01,267.0
China,2021-03-01,147.0
China,2021-03-01,171.0
China,2021-03-01,1317.0
China,2021-03-01,1610.0
China,2021-03-01,1305.0
China,2021-03-01,11019.0
China,2021-03-01,68151.0
China,2021-03-01,1036.0
China,2021-03-01,367.0
China,2021-03-01,704.0
China,2021-03-01,935.0
China,2021-03-01,573.0
China,2021-03-01,406.0
China,2021-03-01,48.0
China,2021-03-01,75.0
China,2021-03-01,18.0
China,2021-03-01,552.0
China,2021-03-01,869.0
China,2021-03-01,1797.0
China,2021-03-01,240.0
